artist;title;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
misfits;american psycho;77v5yDwMLiJlIsHNJQxXrY;0.484;0.995;7;-5.3;1;0.102;0.000248;0.00113;0.381;0.0771;109.556;audio_features;spotify:track:77v5yDwMLiJlIsHNJQxXrY;https://api.spotify.com/v1/tracks/77v5yDwMLiJlIsHNJQxXrY;https://api.spotify.com/v1/audio-analysis/77v5yDwMLiJlIsHNJQxXrY;126907;4
elliott smith;somebody that i used to know;4xfAVJL8R7mVYbDk8a9xOY;0.576;0.367;1;-14.785;1;0.03;0.432;2.24e-06;0.124;0.77;108.446;audio_features;spotify:track:4xfAVJL8R7mVYbDk8a9xOY;https://api.spotify.com/v1/tracks/4xfAVJL8R7mVYbDk8a9xOY;https://api.spotify.com/v1/audio-analysis/4xfAVJL8R7mVYbDk8a9xOY;129333;4
june carter cash;juke box blues;5x46pk7OZUv1WWiP6iEdMy;0.854;0.356;6;-8.78;1;0.0609;0.863;0.000675;0.131;0.845;113.283;audio_features;spotify:track:5x46pk7OZUv1WWiP6iEdMy;https://api.spotify.com/v1/tracks/5x46pk7OZUv1WWiP6iEdMy;https://api.spotify.com/v1/audio-analysis/5x46pk7OZUv1WWiP6iEdMy;138600;4
emerson, lake & palmer;karn evil 9 1st impression, pt. 1;6WfjV745TiUcD8KdUKp241;0.384;0.817;1;-9.079;1;0.0661;0.267;0.00191;0.0756;0.685;128.49;audio_features;spotify:track:6WfjV745TiUcD8KdUKp241;https://api.spotify.com/v1/tracks/6WfjV745TiUcD8KdUKp241;https://api.spotify.com/v1/audio-analysis/6WfjV745TiUcD8KdUKp241;285760;4
queens of the stone age;another love song;5HjEC3NlSzKsVKmqnhXrum;0.376;0.756;9;-4.93;1;0.0657;0.136;0.0155;0.376;0.454;146.114;audio_features;spotify:track:5HjEC3NlSzKsVKmqnhXrum;https://api.spotify.com/v1/tracks/5HjEC3NlSzKsVKmqnhXrum;https://api.spotify.com/v1/audio-analysis/5HjEC3NlSzKsVKmqnhXrum;195558;4
adema;immortal;4pawqkNZXTbqrYAd0I5Wtb;0.482;0.938;6;-4.727;1;0.0978;0.000254;0.177;0.0493;0.392;102.852;audio_features;spotify:track:4pawqkNZXTbqrYAd0I5Wtb;https://api.spotify.com/v1/tracks/4pawqkNZXTbqrYAd0I5Wtb;https://api.spotify.com/v1/audio-analysis/4pawqkNZXTbqrYAd0I5Wtb;249893;4
the supremes;stop! in the name of love;52FlwUMMDnTK8TGkCag9Jd;0.612;0.444;0;-12.752;1;0.0293;0.531;0.0;0.126;0.503;114.961;audio_features;spotify:track:52FlwUMMDnTK8TGkCag9Jd;https://api.spotify.com/v1/tracks/52FlwUMMDnTK8TGkCag9Jd;https://api.spotify.com/v1/audio-analysis/52FlwUMMDnTK8TGkCag9Jd;172907;4
the notting hillbillies;bewildered;3OhkFJSKPlrqjozVsBSami;0.463;0.232;5;-17.463;0;0.0339;0.859;0.000265;0.189;0.537;116.062;audio_features;spotify:track:3OhkFJSKPlrqjozVsBSami;https://api.spotify.com/v1/tracks/3OhkFJSKPlrqjozVsBSami;https://api.spotify.com/v1/audio-analysis/3OhkFJSKPlrqjozVsBSami;155493;3
sticky fingers;hyper;2VkhnzJ1D0ipwbFbggo3Ry;0.364;0.836;3;-5.08;1;0.122;0.284;0.0;0.147;0.58;151.843;audio_features;spotify:track:2VkhnzJ1D0ipwbFbggo3Ry;https://api.spotify.com/v1/tracks/2VkhnzJ1D0ipwbFbggo3Ry;https://api.spotify.com/v1/audio-analysis/2VkhnzJ1D0ipwbFbggo3Ry;206134;4
diana krall;walk on by;4jZRI1v2LLaDTshDW9qruu;0.416;0.191;10;-16.699;1;0.0274;0.689;0.000979;0.0751;0.353;94.147;audio_features;spotify:track:4jZRI1v2LLaDTshDW9qruu;https://api.spotify.com/v1/tracks/4jZRI1v2LLaDTshDW9qruu;https://api.spotify.com/v1/audio-analysis/4jZRI1v2LLaDTshDW9qruu;301587;4
